index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial,cluster,fast_score,slow_score
15,도봉구,NE_GRID_0833,972,2,2,214,4,194.4,69,0,5.27504874,0.65006119,0.629413118,0.702841936,0.462409054,0.674542869,0,0.639878293,0.556376261
16,강북구,NE_GRID_0834,1017,0,0,0,0,1017,156,0,6.925595197,0.921717201,0.749081088,1,0.498787389,0.775227251,0,0.821277408,0.696130559
15,도봉구,NE_GRID_0835,728,0,0,0,0,728,156,0,6.591673732,0.86675857,0.749081088,1,0.265157639,0.804528146,0,0.798604194,0.55664247
15,도봉구,NE_GRID_0836,714,0,1,7,1,357,458,0,5.880532986,0.749715117,0.908016694,0.872020988,0.253839935,0.92909263,0,0.836448399,0.50936002
15,도봉구,NE_GRID_0837,1151,1,20,140,21,52.31818182,254,0,3.976277395,0.436302262,0.820936301,0.429286346,0.607113985,0.871854577,1,0.654988386,0.548077228
15,도봉구,NE_GRID_0838,728,2,0,200,2,242.6666667,243,0,5.495801171,0.686393839,0.814403594,0.797158064,0.265157639,0.848655154,0,0.757890239,0.483267262
15,도봉구,NE_GRID_0839,1016,1,3,71,4,203.2,140,0,5.319099906,0.657311373,0.733157087,0.702841936,0.497978981,0.774100119,0,0.700166009,0.582576956
15,도봉구,NE_GRID_0840,740,0,0,0,0,740,98,0,6.608000625,0.86944574,0.680765436,1,0.274858529,0.722242594,0,0.762053064,0.559099611
15,도봉구,NE_GRID_0841,1064,9,10,1020,19,53.2,103,0,3.992680908,0.439002042,0.688064925,0.446883911,0.536782538,0.740818167,1,0.582452026,0.506810833
15,도봉구,NE_GRID_0842,847,1,7,141,8,94.11111111,328,0,4.555045799,0.531559148,0.858683975,0.594316129,0.361358124,0.874196029,1,0.715519148,0.466856222
15,도봉구,NE_GRID_0843,972,3,3,321,6,138.8571429,162,0,4.940621493,0.595019315,0.754637352,0.64071749,0.462409054,0.811325348,1,0.685318357,0.539204208
15,도봉구,NE_GRID_0844,714,0,8,56,8,79.33333333,250,0,4.386184645,0.503767051,0.818593965,0.594316129,0.253839935,0.850809571,1,0.682535314,0.400158299
15,도봉구,NE_GRID_0845,1064,0,6,42,6,152,201,0,5.030437921,0.609801797,0.786418046,0.64071749,0.536782538,0.823110245,0,0.70947291,0.584655156
15,도봉구,NE_GRID_0846,816,6,0,600,6,116.5714286,125,0,4.767046052,0.566451315,0.716493512,0.64071749,0.336297494,0.735693488,1,0.652320067,0.462222058
15,도봉구,NE_GRID_0847,1064,0,0,0,0,1064,24,0,6.970730078,0.929145748,0.476875354,1,0.536782538,0.476580023,0,0.674949721,0.704903313
15,도봉구,NE_GRID_0849,677,0,0,0,0,677,9,0,6.519147288,0.854821769,0.341127195,1,0.22392886,0.287012314,2,0.569780754,0.511181587
21,성동구,NE_GRID_0854,582,0,0,0,0,582,0,0,6.368187186,0.829975926,0,1,0.147130154,0.025076625,2,0.373351693,0.44691677
21,성동구,NE_GRID_0857,577,4,0,300,4,115.4,0,0,4.757032535,0.564803235,0,0.702841936,0.143088116,0.010799914,2,0.26068344,0.332227498
21,성동구,NE_GRID_0858,577,0,0,0,0,577,1,0,6.359573869,0.828558299,0.102689518,1,0.143088116,0.170993858,2,0.429345301,0.4495446
21,성동구,NE_GRID_0859,640,0,0,0,0,640,227,0,6.463029457,0.845585588,0.8043557,1,0.194017785,0.753069495,0,0.821213642,0.516044684
21,성동구,NE_GRID_0860,573,11,3,563,14,38.2,66,0,3.668676747,0.385675656,0.622923775,0.5,0.139854487,0.619500411,1,0.526735932,0.285201288
21,성동구,NE_GRID_0861,577,0,0,0,0,577,1,0,6.359573869,0.828558299,0.102689518,1,0.143088116,0.211566556,2,0.429345301,0.4495446
21,성동구,NE_GRID_0862,909,0,0,0,0,909,45,0,6.8134446,0.903258839,0.567211915,1,0.411479386,0.5696208,0,0.71319229,0.635326026
21,성동구,NE_GRID_0863,643,0,26,315,26,23.81481481,187,0,3.211440846,0.310421257,0.775777088,0.391474193,0.196443007,0.798206989,1,0.576878639,0.287211598
21,성동구,NE_GRID_0864,658,0,4,28,4,131.6,246,0,4.887337078,0.586249473,0.816214,0.702841936,0.208569119,0.847495677,0,0.717164438,0.413341997
21,성동구,NE_GRID_0865,573,0,11,77,11,47.75,160,0,3.886705197,0.421559977,0.75280832,0.54120004,0.139854487,0.789511512,1,0.613589304,0.307112387
21,성동구,NE_GRID_0866,400,0,0,0,0,400,90,0,5.993961427,0.768383793,0.668282295,1,0,0.72090321,0,0.721232021,0.387090873
21,성동구,NE_GRID_0867,1008,3,105,621,108,9.247706422,163,0,2.327053917,0.164863994,0.755543469,0.133814454,0.491511722,0.785432015,1,0.499860184,0.36784431
19,동대문구,NE_GRID_0868,701,3,105,621,108,6.431192661,163,0,2.005686365,0.111971556,0.755543469,0.133814454,0.243330639,0.779947876,1,0.476872642,0.220766227
19,동대문구,NE_GRID_0869,970,0,0,0,0,970,63,0,6.878326468,0.913937454,0.616137108,1,0.460792239,0.674285828,0,0.744702512,0.667030078
19,동대문구,NE_GRID_0870,995,0,0,0,0,995,134,0,6.903747258,0.918121347,0.726714782,1,0.481002425,0.765308422,0,0.807367521,0.684511342
19,동대문구,NE_GRID_0871,1016,0,13,91,13,72.57142857,303,0,4.298256752,0.489295394,0.846975701,0.512738477,0.497978981,0.87038257,1,0.691142359,0.516643999
19,동대문구,NE_GRID_0872,708,0,0,0,0,708,184,0,6.563855527,0.862180097,0.773393932,1,0.248989491,0.817325519,0,0.810252157,0.548049936
19,동대문구,NE_GRID_0873,1562,0,0,0,0,1562,144,0,7.35436233,0.992286053,0.737301403,1,0.939369442,0.771438815,0,0.850941454,0.951975474
19,동대문구,NE_GRID_0874,995,0,0,0,0,995,87,0,6.903747258,0.918121347,0.663315919,1,0.481002425,0.705394183,0,0.772498146,0.681341399
17,성북구,NE_GRID_0875,838,0,0,0,0,838,87,0,6.732210706,0.889888918,0.663315919,1,0.354082458,0.688804943,0,0.760505662,0.605888931
19,동대문구,NE_GRID_0876,1115,0,2,14,2,371.6666667,49,0,5.920684365,0.756323451,0.579564872,0.797158064,0.578011318,0.618339785,0,0.658357549,0.657580772
17,성북구,NE_GRID_0877,647,0,2,14,2,215.6666667,49,0,5.378360074,0.667064738,0.579564872,0.797158064,0.199676637,0.559378391,0,0.621589072,0.431644954
17,성북구,NE_GRID_0878,1315,0,0,0,0,1315,1,0,7.182352112,0.963975666,0.102689518,1,0.739692805,0.196206562,2,0.486259008,0.804760652
17,성북구,NE_GRID_0879,896,1,37,309,38,22.97435897,22,0,3.176984883,0.304750306,0.464522397,0.323579444,0.400970089,0.472911065,1,0.401201773,0.369425619
